Virus,Host genome,Host taxonomy,Main method,Confidence score,Additional methods
FJ_XM_contig_7525208||full,GB_GCA_002698945.1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter sp002698945,blast,90.2,iPHoP-RF;66.80
FJ_XM_contig_7525208||full,GD_ZH_bin_36,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__,blast,90.1,iPHoP-RF;60.90
FJ_XM_contig_7829056,RS_GCF_000176135.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliilyticus,iPHoP-RF,91.8,None
FJ_XM_contig_7829056,RS_GCF_000422765.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Neptunomonas;s__Neptunomonas japonica,iPHoP-RF,91.1,None
FJ_XM_contig_7830816||full,GB_GCA_002279795.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus sp002279795,iPHoP-RF,90.1,None
FJ_XM_contig_7966602||full,GB_GCA_009937525.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFE01;s__JAACFE01 sp009937525,blast,91.7,iPHoP-RF;74.80
FJ_XM_contig_8049093||full,RS_GCF_003352045.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JL08;s__JL08 sp003352045,blast,92.1,iPHoP-RF;75.00
FJ_XM_contig_8049093||full,GD_ST_bin_109,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__,blast,92,iPHoP-RF;79.30
FJ_XM_contig_8104796,RS_GCF_000340435.2,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium haemophilum,iPHoP-RF,91.4,None
FJ_XM_contig_8313174,RS_GCF_000246945.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides injenensis,iPHoP-RF,91.8,None
FJ_XM_contig_8661266||full,RS_GCF_000417905.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio natriegens,iPHoP-RF,96.1,blast;93.70
FJ_XM_contig_8661266||full,RS_GCF_000830505.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mytili,iPHoP-RF,96.1,None
FJ_XM_contig_8661266||full,RS_GCF_000354175.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alginolyticus,iPHoP-RF,95.1,blast;93.00
FJ_XM_contig_8661266||full,RS_GCF_001547935.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio tritonius,iPHoP-RF,95.1,None
FJ_XM_contig_8661266||full,RS_GCF_000740015.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio diazotrophicus,iPHoP-RF,91.8,None
FJ_XM_contig_8661266||full,RS_GCF_900233005.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio tapetis,iPHoP-RF,91.1,None
FJ_XM_contig_8661266||full,RS_GCF_900088415.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mediterranei,iPHoP-RF,90.1,None
FJ_XM_contig_9098524,RS_GCF_007923265.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Francisella;s__Francisella salimarina,iPHoP-RF,91.4,None
FJ_XM_contig_956462||full,HN_SY_bin_143,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,blast,91.5,iPHoP-RF;83.90
FJ_XM_contig_956462||full,RS_GCF_900115105.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__Yoonia tamlensis,blast,90.9,None
FJ_XM_contig_9726391,GB_GCA_003663535.1,d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_A;s__Thermococcus_A sp003663535,iPHoP-RF,93.4,None
FJ_XM_contig_9726391,GB_GCA_002389645.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Salibacteraceae;g__SHAN690;s__SHAN690 sp002389645,iPHoP-RF,92.8,None
FJ_XM_contig_9726391,GB_GCA_002331485.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Brumimicrobium;s__Brumimicrobium sp002331485,iPHoP-RF,92.4,None
FJ_XM_contig_9726391,RS_GCF_000022545.1,d__Archaea;p__Methanobacteriota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_A;s__Thermococcus_A sibiricus,iPHoP-RF,91.4,None
FJ_XM_contig_9744727||full,GD_ST_bin_127,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,blast,93.2,iPHoP-RF;62.50
FJ_XM_contig_986176,RS_GCF_000263715.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E synxantha_A,iPHoP-RF,90.8,None
FJ_XM_contig_986176,RS_GCF_003852235.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp003852235,iPHoP-RF,90.1,None
GD_ST_contig_10402786,RS_GCF_003544875.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio alfacsensis,iPHoP-RF,96.4,None
GD_ST_contig_10402786,RS_GCF_002608565.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp002608565,iPHoP-RF,95.1,None
GD_ST_contig_10402786,SD_DY_bin_74,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__,iPHoP-RF,91.4,None
GD_ST_contig_10511888||full,HN_SY_bin_50,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__,blast,91.2,iPHoP-RF;69.10
GD_ST_contig_10800800,RS_GCF_000235745.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri_H,iPHoP-RF,90.5,None
GD_ST_contig_10800800,RS_GCF_000952685.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri_E,iPHoP-RF,90.5,None
GD_ST_contig_11132041||full_1,GD_ST_bin_66,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SMXP01;f__SMXP01;g__;s__,blast,93.1,iPHoP-RF;56.50
GD_ST_contig_11326268||full_1,RS_GCF_009811755.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter sp009811755,blast,91.7,iPHoP-RF;80.30
GD_ST_contig_11326268||full_1,RS_GCF_001634885.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter sp001634885,blast,90.9,iPHoP-RF;73.00
GD_ST_contig_11464165,SD_DY_bin_347,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UCB3;f__;g__;s__,blast,92,None
GD_ST_contig_11473362,GB_GCA_013001935.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter_A;s__Maribacter_A sp013001935,iPHoP-RF,93.1,None
GD_ST_contig_11790401||full,SD_QD_bin_241,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,blast,91.2,None
GD_ST_contig_12404555||full,RS_GCF_002761955.1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium pseudoperiodonticum,CRISPR,95.1,None
GD_ST_contig_12570178||full,RS_GCF_001276715.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Planktothricoides;s__Planktothricoides sp001276715,blast,93.9,iPHoP-RF;58.40
GD_ST_contig_12570178||full,GB_GCA_011390955.1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Planktothricoides;s__Planktothricoides sp011390955,blast,91.5,iPHoP-RF;65.30
GD_ST_contig_12676334||full_1,GD_ST_bin_96,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__,blast,94.5,iPHoP-RF;54.90
GD_ST_contig_13062988||full,GB_GCA_009937615.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__JAACFB01 sp009937615,blast,91.4,iPHoP-RF;81.60
GD_ST_contig_13959725,GB_GCA_002390205.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__UBA4457 sp002390205,iPHoP-RF,91.1,None
GD_ST_contig_1397797,RS_GCF_900215465.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda pacifica_A,iPHoP-RF,94.4,None
GD_ST_contig_1397797,RS_GCF_004804315.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda sp004804315,iPHoP-RF,94.1,None
GD_ST_contig_1397797,RS_GCF_003149745.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda koreensis,iPHoP-RF,91.1,None
GD_ST_contig_1397797,RS_GCF_003269425.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda sp003269425,iPHoP-RF,90.8,None
GD_ST_contig_14242330||full,RS_GCF_900172285.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius aestuarii,blast,94.5,iPHoP-RF;55.70
GD_ST_contig_14369491||full_1,GD_ST_bin_47,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__;s__,blast,94.1,iPHoP-RF;82.50
GD_ST_contig_14369491||full_1,GD_ST_bin_111,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__;s__,blast,91.8,iPHoP-RF;72.20
GD_ST_contig_14565534||full,RS_GCF_002646595.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Flavilitoribacter;s__Flavilitoribacter nigricans,blast,93,iPHoP-RF;70.20
GD_ST_contig_14565534||full,GD_ZH_bin_178,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,blast,91.6,iPHoP-RF;68.40
GD_ST_contig_14712561||full_1,GD_ST_bin_16,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__;s__,blast,94.2,None
GD_ST_contig_14731249||full,GB_GCA_002784145.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Yeosuana;s__Yeosuana sp002784145,iPHoP-RF,93.1,None
GD_ST_contig_15164244||full_fragment_1_1,GD_ST_bin_71,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__,blast,93.7,iPHoP-RF;77.30
GD_ST_contig_15185716||full,JS_LYG_bin_116,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__,blast,91.4,iPHoP-RF;68.20
GD_ST_contig_15702450||full,ZJ_NB_bin_177,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__;s__,blast,95.9,iPHoP-RF;67.50
GD_ST_contig_15982840||0_partial_1,GD_ST_bin_3,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,96,iPHoP-RF;56.50
GD_ST_contig_15982840||0_partial_1,ZJ_WZ_bin_92,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,90,None
GD_ST_contig_16168480||full,SD_QD_bin_276,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-259;s__,blast,95.6,iPHoP-RF;67.70
GD_ST_contig_16168480||full,GB_GCA_003246675.1,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-259;s__SZUA-259 sp003246675,blast,90.6,iPHoP-RF;54.60
GD_ST_contig_16282066||0_partial,RS_GCF_000241465.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas echinoides,blast,93.1,None
GD_ST_contig_16282066||0_partial,RS_GCF_900109205.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp900109205,blast,91.4,iPHoP-RF;55.40
GD_ST_contig_16282066||0_partial,RS_GCF_000797515.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp000797515,blast,90.2,None
GD_ST_contig_16362517||full,LN_DD_bin_132,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__,blast,93.7,iPHoP-RF;71.70
GD_ST_contig_16362517||full,GX_BH_bin_29,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__;g__;s__,blast,90.4,iPHoP-RF;74.10
GD_ST_contig_16604900||full,JS_LYG_bin_25,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__;s__,blast,91.7,iPHoP-RF;72.60
GD_ST_contig_16604900||full,GB_GCA_002868985.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985,blast,90.9,iPHoP-RF;66.00
GD_ST_contig_16604900||full,GB_GCA_014382665.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JACNJH01;s__JACNJH01 sp014382665,blast,90.7,None
GD_ST_contig_16604900||full,GB_GCA_013203195.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JACNIG01;s__JACNIG01 sp013203195,blast,90,iPHoP-RF;63.30
GD_ST_contig_16604900||full,GB_GCA_014383215.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JACNIG01;s__JACNIG01 sp014383215,blast,90,iPHoP-RF;64.80
GD_ST_contig_16989125||full,RS_GCF_004337445.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__LSR1;s__LSR1 sp004337445,blast,93.6,iPHoP-RF;65.30
GD_ST_contig_16989125||full,GB_GCA_002782005.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__LSR1;s__LSR1 sp002782005,blast,93.4,iPHoP-RF;64.50
GD_ST_contig_17243397||full,ZJ_WZ_bin_107,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__;s__,blast,91.6,iPHoP-RF;64.80
GD_ST_contig_17597489||full_1,GD_ST_bin_127,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,blast,91.8,iPHoP-RF;60.60
GD_ST_contig_17614900,RS_GCF_000739595.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum halophilum,iPHoP-RF,94.7,None
GD_ST_contig_17614900,RS_GCF_000337375.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum lipolyticum,iPHoP-RF,94.1,None
GD_ST_contig_17614900,RS_GCF_000337915.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum saccharovorum,iPHoP-RF,93.7,None
GD_ST_contig_17614900,RS_GCF_000336995.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum aidingense,iPHoP-RF,93.4,None
GD_ST_contig_17614900,RS_GCF_002252755.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp002252755,iPHoP-RF,92.8,None
GD_ST_contig_17614900,RS_GCF_002727125.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum persicum,iPHoP-RF,91.8,None
GD_ST_contig_17614900,RS_GCF_003781945.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003781945,iPHoP-RF,91.8,None
GD_ST_contig_17614900,RS_GCF_000337355.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum kocurii,iPHoP-RF,90.1,None
GD_ST_contig_17837083||full_fragment_2,RS_GCF_003967075.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium amiense,blast,91.8,None
GD_ST_contig_17837083||full_fragment_2,RS_GCF_001456115.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium baderi_A,blast,91.6,iPHoP-RF;52.80
GD_ST_contig_18310484||full,RS_GCF_003185655.1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__WN38;s__WN38 sp003185655,blast,93.4,None
GD_ST_contig_18677008,RS_GCF_900220975.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mycoplana;s__Mycoplana subbaraonis,iPHoP-RF,93.7,None
GD_ST_contig_18677008,RS_GCF_000378985.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium sp000378985,iPHoP-RF,92.4,None
GD_ST_contig_20085902,RS_GCF_900106955.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Aidingimonas;s__Aidingimonas halophila,iPHoP-RF,91.4,None
GD_ST_contig_20697604||full,GD_ST_bin_53,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,93.7,iPHoP-RF;58.70
GD_ST_contig_20697604||full,SD_DY_bin_129,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,blast,92.6,None
GD_ST_contig_20698968,RS_GCF_002873455.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus_J,iPHoP-RF,92.1,None
GD_ST_contig_20698968,RS_GCF_900089835.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio thalassae,iPHoP-RF,92.1,None
GD_ST_contig_20698968,RS_GCF_005281835.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio profundi,iPHoP-RF,91.8,None
GD_ST_contig_20698968,RS_GCF_007858795.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sp007858795,iPHoP-RF,91.8,None
GD_ST_contig_20698968,RS_GCF_000695685.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio fortis,iPHoP-RF,91.4,None
GD_ST_contig_20698968,RS_GCF_001639065.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio barjaei,iPHoP-RF,90.8,None
GD_ST_contig_21735089||full,RS_GCF_009856825.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp009856825,iPHoP-RF,95.1,None
GD_ST_contig_21735089||full,RS_GCF_000281975.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp000281975,iPHoP-RF,92.4,None
GD_ST_contig_21822639||full,RS_GCF_002355735.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__Sulfuricaulis limicola,blast,91.9,iPHoP-RF;60.90
GD_ST_contig_21822639||full,GB_GCA_001785115.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__RBG-16-65-34;s__RBG-16-65-34 sp001785115,blast,90.9,None
GD_ST_contig_21822639||full,GB_GCA_001785175.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__MFSY01;s__MFSY01 sp001785175,blast,90.9,iPHoP-RF;55.20
GD_ST_contig_21822639||full,ZJ_NB_bin_146,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__,blast,90.8,None
GD_ST_contig_21822639||full,GB_GCA_001785195.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfuricaulis;s__Sulfuricaulis sp001785195,blast,90.6,iPHoP-RF;56.00
GD_ST_contig_21844715||full,GB_GCA_014237405.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina sp014237405,blast,93.5,iPHoP-RF;89.80
GD_ST_contig_21844715||full,RS_GCF_009688965.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina widdelii,blast,92.2,iPHoP-RF;91.80
GD_ST_contig_21844715||full,RS_GCF_009688945.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina alkanivorans,blast,92.1,iPHoP-RF;81.10
GD_ST_contig_21844715||full,SD_QD_bin_275,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__,blast,91.7,iPHoP-RF;90.50
GD_ST_contig_21844715||full,GB_GCA_002352605.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina sp002352605,blast,91.4,iPHoP-RF;78.00
GD_ST_contig_21844715||full,HN_SY_bin_51,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__;s__,blast,90.7,iPHoP-RF;88.20
GD_ST_contig_21844715||full,RS_GCF_001311845.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfosarcina;s__Desulfosarcina cetonica,blast,90.5,iPHoP-RF;57.60
GD_ST_contig_22147005||full,FJ_XM_bin_121,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__,blast,93.9,None
GD_ST_contig_22147005||full,RS_GCF_005887615.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_E;s__Sulfitobacter_E sabulilitoris,blast,93.5,iPHoP-RF;50.20
GD_ST_contig_22147005||full,RS_GCF_000154785.2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter litoralis,blast,92.1,None
GD_ST_contig_22147005||full,GD_ST_bin_100,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__,blast,91.9,None
GD_ST_contig_22147005||full,HN_SY_bin_219,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,blast,91.8,None
GD_ST_contig_22147005||full,RS_GCF_000014045.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseobacter;s__Roseobacter denitrificans,blast,91.8,iPHoP-RF;51.70
GD_ST_contig_22147005||full,RS_GCF_001262635.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Aestuariivita;s__Aestuariivita boseongensis,blast,91.8,None
GD_ST_contig_22147005||full,HN_SY_bin_143,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,blast,91.7,None
