contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
ZJ_WZ_contig_3815069	20232	19	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_20345897	20215	20	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_7454959	20215	8	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_6425521	20215	23	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_27738466||0_partial	20209	13	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_26275505	20204	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_8493655	20192	13	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_24263292	20189	19	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_7598689||full	20181	23	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9337450	20175	11	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_2627416	20166	12	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_5788786	20164	27	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_11579062	20160	17	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_18790143	20153	29	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_27905511	20152	40	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_26936145||full	20147	15	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_13471422||full	20141	41	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_19340250	20140	19	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_24188814||full	20138	18	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_15111548	20137	24	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_24355904	20134	40	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_19420013	20120	25	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_21402017	20101	24	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_25222067	20096	21	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_3105010	20092	26	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_28867333	20084	32	1	6	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_15745873	20072	24	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_24355287	20070	34	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_6550578	20070	25	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_5032224	20064	16	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_30268893	20063	27	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_3966148||full	20051	30	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_23354528	20046	29	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_13725056||full	20045	27	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_15035908	20038	18	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_3764201	20017	24	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_10075148	20013	22	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14101352	20009	24	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6891450	20007	23	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_15426324||full	20004	18	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_34300470	20003	13	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_16168531	19994	15	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_25303947	19993	25	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_20120593	19985	31	3	4	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_10519629||0_partial	19972	17	2	4	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_835272	19972	42	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_14642343	19972	22	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_4788624||full	19971	17	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14454360	19970	41	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_18869635	19960	25	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_10533276	19957	22	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_19361496	19949	37	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_22781911	19948	22	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_10222408	19946	20	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_28544345	19946	36	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_27621869	19945	26	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_23171785	19935	32	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_19732501||full	19934	11	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_18721007	19929	41	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_26450932||full	19925	18	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_13200956	19921	28	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_26277645||full_1	19910	26	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_15428735	19909	28	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_29282856||full	19900	24	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_4402401||0_partial_1	19898	15	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18613730||full	19895	28	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_19091208	19871	30	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_24003520||full	19871	28	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_19145175	19857	28	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_17668237||full	19856	35	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_3707292	19846	18	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_90826	19845	19	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_26601134	19843	25	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_22822808	19842	22	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_13269286||full	19839	11	0	6	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9362977	19835	24	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_23865703	19832	35	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_20406097	19828	34	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_25657161	19821	23	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_25927949	19813	19	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_18167866	19810	16	6	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_30536475||full	19807	18	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_28465389	19803	17	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_5264720||full	19801	22	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9273352	19792	14	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_22745835	19774	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_18428841	19773	23	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_25857765	19772	24	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_13168197||full	19750	23	1	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_12877818	19717	24	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_24510557||full_1	19716	29	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_28094567||full	19709	38	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_24632883||0_partial_1	19705	16	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_16491064||full	19703	22	1	6	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_11063938	19698	19	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_6086959||0_partial	19692	13	0	8	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_1003329||full	19691	31	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_4048074	19676	16	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_30149021	19642	27	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_9079255	19640	30	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_18623281	19634	36	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_28015696	19619	44	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_4110547	19596	18	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_4332218	19583	19	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_8374869	19574	17	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_16951342	19572	35	1	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_11228404	19570	22	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_23402927	19540	25	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_26046603	19537	22	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_18999451	19535	12	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_9846321||full	19532	29	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_19379886||full	19527	28	18	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9092514||full	19519	21	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_9758509	19514	20	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_19422275	19507	29	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_27947905||full_1	19501	15	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6101485	19491	35	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_24813107	19487	15	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_7989244||full_1	19477	23	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6280535	19474	28	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_269081||full_1	19471	5	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_27440551	19469	20	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_1260374	19460	31	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_8716194	19455	28	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_22809430||full	19443	32	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_4352251	19441	21	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_1590150||full	19425	25	2	5	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_13385694	19422	34	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_19434061	19420	20	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_14262598	19412	17	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14059748	19409	23	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_3890414	19408	29	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_5108084	19406	27	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_25275452||full	19405	13	2	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_9965038	19404	19	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_154199||full	19404	47	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_18576778||0_partial	19404	17	1	4	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_13353896	19403	34	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_14883267||full	19400	17	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_23983398	19390	23	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_20229917||full	19387	8	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_2503907	19378	21	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_19180381	19370	28	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_22644239	19364	21	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_16354850	19358	15	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_17243210	19358	37	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_26102479	19356	24	1	4	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_4205475	19352	18	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_14592979||full	19347	33	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_13158074||0_partial_1	19345	15	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_23361	19335	23	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_21979479	19333	26	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_30565812||full	19330	18	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_24475794||full	19329	26	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_5216664	19318	28	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_8269042	19315	21	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_12572087	19305	38	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_19898056||full	19305	24	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_11574712||full	19299	19	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_13069265	19286	22	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_577326||full	19283	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_16121523	19272	30	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_26571436	19265	10	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_23329962	19262	44	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_21654009	19255	21	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_7946840	19249	15	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_24897725||full	19246	20	2	3	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_20144365||full	19244	19	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_20586931	19237	24	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_506873	19233	27	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18971310||full	19227	38	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_28367648	19220	28	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_40112	19203	27	11	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_15010394||full	19201	6	0	4	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_16063549	19191	15	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_2767612||0_partial	19175	17	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_33200015	19169	22	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_10469162	19163	25	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_4717755	19153	20	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_25982651	19146	23	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_9155970	19143	24	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_9185580	19130	21	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_23164242||full	19122	20	3	6	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ST_contig_26145425	19121	24	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_28966046||full	19110	30	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_24783464||full	19106	17	2	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_5370613||full	19096	21	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_4176282	19091	24	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_25348292||full	19089	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_24845150	19089	21	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_30126839||full	19083	30	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_6419270	19083	45	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_13298903	19077	38	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_4843899||0_partial_1	19076	15	3	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_20883203	19076	18	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_18468811	19067	26	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_18904501||0_partial	19066	19	1	5	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_2456245	19065	32	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_15384201||0_partial	19062	15	0	5	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_21878171||full	19061	17	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_3347062	19061	25	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_25602877||full	19051	24	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_12196505	19042	38	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_12439200||full	19040	38	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_8669686	19039	10	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_25852271||0_partial	19035	22	0	8	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_12535480	19030	23	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_9155669	19029	17	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_20542581	19028	32	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14701464	19022	20	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_11906414||full	19009	32	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_13298901||full	18989	28	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_22477348	18985	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_3432362	18982	14	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_10265505	18978	39	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_2280694||full	18975	17	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_454477	18975	25	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_3117215	18974	23	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_8093416	18966	20	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_2062153	18964	26	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_23620365||full	18958	30	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_7807173||full_1	18957	17	2	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_2054777||full	18953	22	6	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_27880712	18949	20	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_10732627	18949	26	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_5337323	18949	23	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_11489533	18947	14	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_35007935	18946	22	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_19508303	18942	10	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_12359854	18941	21	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_17165171||full	18933	20	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_14611625	18931	19	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_24140844||full	18930	22	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_12039507	18926	26	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_13930052	18920	23	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_24932721	18906	31	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_1086055	18901	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_6853081	18900	23	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_14757322	18895	29	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_10189605	18891	27	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_25216545	18891	19	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_2130001	18891	17	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_62156||full	18888	5	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_34327562	18882	38	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_26739052||full	18875	21	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_15990432||full	18864	31	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_4439130||0_partial_1	18861	15	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_QD_contig_28683603	18860	34	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_19400290||full	18851	24	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_23273323	18847	21	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_4912577	18837	36	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_3521522||full	18822	38	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_6292905||full	18821	22	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_22813685||full	18814	13	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_21189452	18812	17	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_16950400||full	18810	23	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_6176454||full	18810	20	12	2	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_13952406	18798	38	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_25333449	18793	21	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_9954041	18788	26	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_21616944	18784	21	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_17750747	18782	29	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_18865785	18781	13	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
HN_SY_contig_11772486||full_1	18777	15	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_LYG_contig_8353899	18772	21	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GX_BH_contig_30119298||full	18763	22	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_22128547	18762	22	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_2448987	18759	35	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_23715665	18753	10	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_24591092	18752	17	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_33581002	18751	20	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
GD_ZH_contig_5292432||full	18749	18	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
JS_YC_contig_15814994	18744	17	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN_DD_contig_1182305	18744	32	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
FJ_XM_contig_9373921	18741	35	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_WZ_contig_1650027||full_1	18729	18	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
SD_DY_contig_20442990||full	18717	16	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
ZJ_NB_contig_12463981||full	18712	19	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
