seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
JS_LYG_contig_19571915	0.96	0.153	0.96	dsDNAphage	12526	0	4	0
JS_LYG_contig_19588894	0.607	0.38	0.607	dsDNAphage	5605	0	16.7	0
JS_LYG_contig_19599686	1	0.66	1	dsDNAphage	8655	1	56.2	0
JS_LYG_contig_19600220	1	0.533	1	dsDNAphage	5806	1	66.7	0
JS_LYG_contig_19600845	0.807	0.12	0.807	dsDNAphage	5099	0	28.6	0
JS_LYG_contig_19608131	0.993	0.673	0.993	dsDNAphage	6005	0	25	0
JS_LYG_contig_19620068||full	0.993	0.047	0.993	dsDNAphage	8089	2	76.9	7.7
JS_LYG_contig_19630386	0.947	0.12	0.947	dsDNAphage	9833	0	12.5	0
JS_LYG_contig_19634898	0.92	0.147	0.92	dsDNAphage	5962	0	12.5	0
JS_LYG_contig_19638009	0.727	0.653	0.727	dsDNAphage	5665	0	21.4	0
JS_LYG_contig_19641624||full	0.5	0.373	0.5	dsDNAphage	8148	0	50	0
JS_LYG_contig_19650519	1	0.867	1	dsDNAphage	6166	1	77.8	0
JS_LYG_contig_19652110	0.867	0.733	0.867	dsDNAphage	4714	0	33.3	0
JS_LYG_contig_19652688	0.927	0.627	0.927	dsDNAphage	6347	0	27.3	0
JS_LYG_contig_19657365	0.953	0.667	0.953	dsDNAphage	9626	0	100	0
JS_LYG_contig_19657437	1	0.427	1	dsDNAphage	11164	2	66.7	0
JS_LYG_contig_1966695	0.98	0.407	0.98	dsDNAphage	5560	1	10	0
JS_LYG_contig_19683197	0.907	0.087	0.907	dsDNAphage	5701	0	44.4	0
JS_LYG_contig_19721831	0.653	0.12	0.653	dsDNAphage	5513	0	25	0
JS_LYG_contig_19734796	0.893	0.053	0.893	dsDNAphage	3914	0	22.2	0
JS_LYG_contig_19749175||full	0.993	0.68	0.993	dsDNAphage	5232	1	30.8	0
JS_LYG_contig_19763865	0.987	0.353	0.987	dsDNAphage	6959	1	40	0
JS_LYG_contig_19769015||full	0.867	0.013	0.867	dsDNAphage	9097	1	20	0
JS_LYG_contig_19781452	1	0.94	1	dsDNAphage	10176	1	100	0
JS_LYG_contig_19785842	0.793	0.627	0.793	dsDNAphage	7108	0	9.1	0
JS_LYG_contig_19790101	0.913	0.493	0.913	dsDNAphage	5545	0	55.6	0
JS_LYG_contig_19793473	0.753	0.187	0.753	dsDNAphage	37509	0	61.9	0
JS_LYG_contig_19811650	0.94	0.16	0.94	dsDNAphage	8940	1	50	0
JS_LYG_contig_19814811	0.993	0.68	0.993	dsDNAphage	6059	2	100	0
JS_LYG_contig_19815210	0.973	0.487	0.973	dsDNAphage	7044	0	46.2	0
JS_LYG_contig_19827656	0.993	0.907	0.993	dsDNAphage	4458	2	42.9	0
JS_LYG_contig_1985651	1	0.42	1	dsDNAphage	11568	4	38.1	0
JS_LYG_contig_19860543||full	0.993	0.44	0.993	dsDNAphage	6141	1	33.3	0
JS_LYG_contig_1990147||full	1	0.213	1	dsDNAphage	8724	1	28.6	0
JS_LYG_contig_19910492	0.993	0.013	0.993	dsDNAphage	46555	8	47.6	2.4
JS_LYG_contig_19916382||full	0.907	0.04	0.907	dsDNAphage	5048	1	33.3	0
JS_LYG_contig_19924658	1	0.313	1	dsDNAphage	9062	1	54.5	0
JS_LYG_contig_19940006	0.82	0.013	0.82	dsDNAphage	11021	0	50	6.2
JS_LYG_contig_19951114||full	1	0.727	1	dsDNAphage	5383	2	77.8	0
JS_LYG_contig_19951504	0.767	0.673	0.767	dsDNAphage	5684	0	60	0
JS_LYG_contig_19970037	0.8	0.02	0.8	dsDNAphage	4390	0	22.2	11.1
JS_LYG_contig_19975352	1	0.387	1	dsDNAphage	13853	1	95.8	0
JS_LYG_contig_1998463	1	0.827	1	dsDNAphage	5372	2	100	0
JS_LYG_contig_19990155	0.587	0.447	0.587	dsDNAphage	5701	0	50	0
JS_LYG_contig_20001181	0.82	0.347	0.82	dsDNAphage	13598	0	91.7	0
JS_LYG_contig_20002604	0.887	0.62	0.887	dsDNAphage	9286	0	85.7	0
JS_LYG_contig_20005856	1	0.573	1	dsDNAphage	7467	0	13.3	0
JS_LYG_contig_20044760	0.94	0.667	0.94	dsDNAphage	5799	0	28.6	0
JS_LYG_contig_20051357||full_1	nan	nan	nan	dsDNAphage	1665	1	100	0
JS_LYG_contig_20055645	0.993	0.127	0.993	dsDNAphage	12496	1	66.7	0
JS_LYG_contig_20059619	0.973	0.573	0.973	dsDNAphage	5230	0	77.8	0
JS_LYG_contig_20089938	0.973	0.92	0.973	dsDNAphage	5410	0	25	0
JS_LYG_contig_20141799	0.727	0.26	0.727	dsDNAphage	8801	0	9.1	0
JS_LYG_contig_20163816	0.927	0.367	0.927	dsDNAphage	5495	0	30	0
JS_LYG_contig_2017884	0.787	0.653	0.787	dsDNAphage	5332	0	85.7	0
JS_LYG_contig_20185325	0.967	0.973	0.973	ssDNA	5424	0	100	0
JS_LYG_contig_20188765	1	0.46	1	dsDNAphage	45337	8	87	0
JS_LYG_contig_20196132	0.993	0.24	0.993	dsDNAphage	6196	1	33.3	0
JS_LYG_contig_20196998	1	0.793	1	dsDNAphage	6714	2	75	0
JS_LYG_contig_20212694	0.987	0.113	0.987	dsDNAphage	7722	2	50	0
JS_LYG_contig_20231756||full_1	0.993	0.46	0.993	dsDNAphage	5631	3	83.3	0
JS_LYG_contig_2023649||full	0.84	0.607	0.84	dsDNAphage	5263	0	50	0
JS_LYG_contig_20252613||full_1	0.887	0.087	0.887	dsDNAphage	5025	0	28.6	0
JS_LYG_contig_20263864	0.92	0.227	0.92	dsDNAphage	6204	0	30.8	0
JS_LYG_contig_20271551	0.993	0.633	0.993	dsDNAphage	7862	2	100	0
JS_LYG_contig_20279632||full	0.76	0	0.76	dsDNAphage	7504	1	28.6	14.3
JS_LYG_contig_20311870	0.993	0.693	0.993	dsDNAphage	5023	4	100	0
JS_LYG_contig_20332460	0.92	0.533	0.92	dsDNAphage	5201	0	30	0
JS_LYG_contig_20345897	0.86	0.153	0.86	dsDNAphage	20212	0	23.8	0
JS_LYG_contig_20347454	0.753	0.28	0.753	dsDNAphage	6367	0	28.6	0
JS_LYG_contig_20356739	0.66	0.06	0.66	dsDNAphage	11605	0	6.2	0
JS_LYG_contig_20363058	0.94	0.74	0.94	dsDNAphage	5887	0	50	0
JS_LYG_contig_20376755||full_1	1	0.78	1	dsDNAphage	4178	2	80	0
JS_LYG_contig_20388383	1	0.847	1	dsDNAphage	11720	3	58.3	0
JS_LYG_contig_20392063||full	0.993	0.007	0.993	dsDNAphage	8275	1	36.4	9.1
JS_LYG_contig_20415460	0.98	0.533	0.98	dsDNAphage	5616	0	33.3	0
JS_LYG_contig_2042667	0.907	0.707	0.907	dsDNAphage	6430	0	37.5	0
JS_LYG_contig_20435201	0.993	0.147	0.993	dsDNAphage	6504	2	57.1	0
JS_LYG_contig_20436691	0.987	0.473	0.987	dsDNAphage	5933	1	33.3	0
JS_LYG_contig_20436841	0.893	0.213	0.893	dsDNAphage	13285	0	10.7	0
JS_LYG_contig_20451925	0.973	0	0.973	dsDNAphage	10551	1	22.2	11.1
JS_LYG_contig_20497560	1	0.5	1	dsDNAphage	7361	2	66.7	0
JS_LYG_contig_20572506	0.993	0.007	0.993	dsDNAphage	25334	3	40.5	2.7
JS_LYG_contig_20578711	1	0.333	1	dsDNAphage	16663	3	58.3	0
JS_LYG_contig_20585627	0.64	0.84	0.84	ssDNA	5234	0	33.3	0
JS_LYG_contig_20586931	1	0.607	1	dsDNAphage	19235	7	100	0
JS_LYG_contig_20595318	1	0.16	1	dsDNAphage	5997	1	41.7	0
JS_LYG_contig_20597259	0.973	0.027	0.973	dsDNAphage	7941	3	44.4	11.1
JS_LYG_contig_20606655	0.947	0.24	0.947	dsDNAphage	5160	1	66.7	0
JS_LYG_contig_20612038	0.933	0.707	0.933	dsDNAphage	5952	0	28.6	0
JS_LYG_contig_20633028||full	0.847	0.2	0.847	dsDNAphage	8671	1	25	0
JS_LYG_contig_20634219	0.92	0.853	0.92	dsDNAphage	6932	0	57.1	0
JS_LYG_contig_20649644	0.8	0.607	0.8	dsDNAphage	5387	0	50	0
JS_LYG_contig_20653980	0.773	0.873	0.873	ssDNA	6264	0	33.3	0
JS_LYG_contig_20656718	0.993	0.447	0.993	dsDNAphage	8660	1	87.5	0
JS_LYG_contig_20661736	0.993	0.767	0.993	dsDNAphage	6947	1	37.5	0
JS_LYG_contig_20665384	0.807	0.033	0.807	dsDNAphage	11546	0	12.5	0
JS_LYG_contig_206674||full	0.533	0.553	0.553	ssDNA	4587	0	60	0
JS_LYG_contig_20670187||full	0.973	0.48	0.973	dsDNAphage	5134	1	33.3	0
JS_LYG_contig_20677834	0.967	0.567	0.967	dsDNAphage	6751	0	58.3	0
JS_LYG_contig_20703927||full	0.993	0.4	0.993	dsDNAphage	6123	2	80	0
JS_LYG_contig_2072546	1	0.527	1	dsDNAphage	7584	1	23.8	0
JS_LYG_contig_20740240||full	0.98	0.487	0.98	dsDNAphage	5382	2	40	0
JS_LYG_contig_20740897	0.993	0.287	0.993	dsDNAphage	8920	1	30.8	0
JS_LYG_contig_20763700	0.993	0.48	0.993	dsDNAphage	17350	1	15.2	0
JS_LYG_contig_20764127||full	0.993	0.767	0.993	dsDNAphage	5316	1	75	0
JS_LYG_contig_2078564	0.993	0.74	0.993	dsDNAphage	5219	1	100	0
JS_LYG_contig_20790676	0.807	0.72	0.807	dsDNAphage	6917	0	80	0
JS_LYG_contig_20796087	0.993	0.807	0.993	dsDNAphage	5969	1	50	0
JS_LYG_contig_20807594||full	0.973	0.413	0.973	dsDNAphage	4997	1	16.7	0
JS_LYG_contig_20810371	0.967	0.873	0.967	dsDNAphage	8097	0	38.9	0
JS_LYG_contig_20819227	0.973	0.22	0.973	dsDNAphage	14342	0	12.5	0
JS_LYG_contig_20823523||full	0.973	0.047	0.973	dsDNAphage	8169	2	42.9	0
JS_LYG_contig_20829064	0.987	0.2	0.987	dsDNAphage	7470	0	9.1	0
JS_LYG_contig_20859688||full	0.993	0.047	0.993	dsDNAphage	55743	6	47.8	1.4
JS_LYG_contig_2086531	1	0.873	1	dsDNAphage	7151	4	55.6	0
JS_LYG_contig_20874549	0.827	0.04	0.827	dsDNAphage	8864	0	21.1	10.5
JS_LYG_contig_20878995	1	0.053	1	dsDNAphage	37888	5	35	0
JS_LYG_contig_20889870	0.98	0.033	0.98	dsDNAphage	10147	1	5.6	0
JS_LYG_contig_20895194	0.887	0.24	0.887	dsDNAphage	10085	0	6.2	0
JS_LYG_contig_20916190	0.987	0.92	0.987	dsDNAphage	7344	0	26.7	0
JS_LYG_contig_20918857	0.98	0.267	0.98	dsDNAphage	5313	1	14.3	0
JS_LYG_contig_20931530	0.72	0.34	0.72	dsDNAphage	11047	0	25	0
JS_LYG_contig_20937167	0.94	0.92	0.94	dsDNAphage	5390	0	77.8	0
JS_LYG_contig_20946824	1	0.14	1	dsDNAphage	18604	2	35	0
JS_LYG_contig_20948215||full	0.94	0.02	0.94	dsDNAphage	9934	0	6.7	0
JS_LYG_contig_20956379||full	0.98	0.5	0.98	dsDNAphage	9100	1	26.3	0
JS_LYG_contig_2097031||full	0.933	0	0.933	dsDNAphage	8372	3	42.9	42.9
JS_LYG_contig_21008709||full	1	0.94	1	dsDNAphage	5513	1	37.5	0
JS_LYG_contig_21010464||full	1	0.507	1	dsDNAphage	5284	1	71.4	0
JS_LYG_contig_21020490	0.993	0.307	0.993	dsDNAphage	8020	1	25	0
JS_LYG_contig_21032836||full	1	0.44	1	dsDNAphage	6663	4	66.7	0
JS_LYG_contig_21034793||full	1	0.173	1	dsDNAphage	15673	1	47.6	0
JS_LYG_contig_21043012	1	0.673	1	dsDNAphage	5813	2	85.7	0
JS_LYG_contig_21089602	1	0.733	1	dsDNAphage	6896	1	85.7	0
JS_LYG_contig_21109200	0.987	0.1	0.987	dsDNAphage	5645	1	16.7	0
JS_LYG_contig_21113366	0.987	0.013	0.987	dsDNAphage	47721	6	30.9	1.5
JS_LYG_contig_21121122	0.987	1	1	ssDNA	5646	0	33.3	0
JS_LYG_contig_21134372	0.94	0.06	0.94	dsDNAphage	26150	0	35.3	0
JS_LYG_contig_2113787	1	0.32	1	dsDNAphage	10346	2	62.5	0
JS_LYG_contig_21156666	0.72	0.207	0.72	dsDNAphage	5842	0	14.3	0
JS_LYG_contig_21168980	0.9	0.12	0.9	dsDNAphage	13332	0	16.7	0
JS_LYG_contig_21174202	1	0.62	1	dsDNAphage	9291	1	100	0
JS_LYG_contig_21175578	1	0.867	1	dsDNAphage	6024	2	71.4	0
JS_LYG_contig_21189148	0.72	0.887	0.887	ssDNA	5537	0	50	0
JS_LYG_contig_21198336	0.993	0.2	0.993	dsDNAphage	10255	1	21.1	0
JS_LYG_contig_21215012	1	0.487	1	dsDNAphage	12277	3	88.9	0
JS_LYG_contig_21215142	0.96	0.693	0.96	dsDNAphage	10103	0	58.8	0
JS_LYG_contig_21222960||full	1	0.7	1	dsDNAphage	5736	1	100	0
JS_LYG_contig_21250576||full	0.993	0.413	0.993	dsDNAphage	5418	1	14.3	0
JS_LYG_contig_21256948	1	0.747	1	dsDNAphage	17245	5	73.7	0
JS_LYG_contig_21263876	0.827	0.447	0.827	dsDNAphage	8408	0	17.6	0
JS_LYG_contig_21269195	0.94	0.833	0.94	dsDNAphage	6672	0	25	0
JS_LYG_contig_21269210	1	0.393	1	dsDNAphage	9987	4	61.5	0
JS_LYG_contig_21272621	1	0.447	1	dsDNAphage	14964	4	100	0
JS_LYG_contig_2129335||full	0.853	0.153	0.853	dsDNAphage	5009	0	12.5	0
JS_LYG_contig_21330842	0.987	0.893	0.987	dsDNAphage	5008	0	27.3	0
JS_LYG_contig_2133125	0.987	0.427	0.987	dsDNAphage	11698	0	18.2	0
JS_LYG_contig_21341706	1	0	1	dsDNAphage	133558	18	39.3	3
JS_LYG_contig_21344515	1	0.713	1	dsDNAphage	6473	1	35.7	0
JS_LYG_contig_21344784||full	1	0.98	1	dsDNAphage	5333	1	100	0
JS_LYG_contig_21346210	0.793	0.207	0.793	dsDNAphage	9982	0	80	0
JS_LYG_contig_21349907	1	0.207	1	dsDNAphage	17034	6	65	0
JS_LYG_contig_21364193	1	0.68	1	dsDNAphage	6169	1	58.3	0
JS_LYG_contig_21382025	0.667	0.767	0.767	ssDNA	5573	0	50	0
JS_LYG_contig_2139139||full	0.853	0.273	0.853	dsDNAphage	11312	0	64.3	0
JS_LYG_contig_2142165	1	0.733	1	dsDNAphage	11156	1	21.1	0
JS_LYG_contig_21426327	0.98	0.54	0.98	dsDNAphage	13366	0	16	0
JS_LYG_contig_21445052	1	0.473	1	dsDNAphage	13173	4	40	0
JS_LYG_contig_2147425	0.673	0.653	0.673	dsDNAphage	5103	0	42.9	0
JS_LYG_contig_21481880	1	0.747	1	dsDNAphage	5234	2	83.3	0
JS_LYG_contig_21493124	0.98	0.06	0.98	dsDNAphage	9807	1	31.6	5.3
JS_LYG_contig_21499431	1	0.127	1	dsDNAphage	7863	2	44.4	0
JS_LYG_contig_2150980	0.953	0.287	0.953	dsDNAphage	5056	1	16.7	0
JS_LYG_contig_21510718	0.62	0.447	0.62	dsDNAphage	10861	0	72.7	0
JS_LYG_contig_21526404	1	0.973	1	dsDNAphage	7528	4	100	0
JS_LYG_contig_21526763	0.893	0.153	0.893	dsDNAphage	13214	0	68.4	0
JS_LYG_contig_21526989	1	0.927	1	dsDNAphage	5110	2	50	0
JS_LYG_contig_21529537	0.86	0.047	0.86	dsDNAphage	7869	0	13.3	6.7
JS_LYG_contig_21529700	0.993	0.02	0.993	dsDNAphage	17929	2	62.5	6.2
JS_LYG_contig_21534738	1	0.287	1	dsDNAphage	8041	4	90	0
JS_LYG_contig_21537787||full	0.833	0.9	0.9	ssDNA	9812	0	26.3	0
JS_LYG_contig_21539044	0.787	0.913	0.913	ssDNA	5201	0	60	0
JS_LYG_contig_21542296	0.927	0.36	0.927	dsDNAphage	7925	0	75	0
JS_LYG_contig_21546169	1	0.433	1	dsDNAphage	6392	1	28.6	0
JS_LYG_contig_21562315||full	0.867	0	0.867	dsDNAphage	11873	2	30	30
JS_LYG_contig_21564627	1	0.607	1	dsDNAphage	6281	1	56.2	0
JS_LYG_contig_21569895	1	0.667	1	dsDNAphage	7102	4	77.8	0
JS_LYG_contig_21590502||full_1	0.953	0.047	0.953	dsDNAphage	2203	1	50	25
JS_LYG_contig_21622149	0.973	0.453	0.973	dsDNAphage	6299	3	62.5	0
JS_LYG_contig_21622790	1	0.42	1	dsDNAphage	23180	6	100	0
JS_LYG_contig_21625390	0.993	0.027	0.993	dsDNAphage	25602	2	17.6	2.9
JS_LYG_contig_21627642||full	0.667	0	0.667	dsDNAphage	14629	0	30.8	7.7
JS_LYG_contig_21644081	1	0.04	1	dsDNAphage	12060	2	17.6	5.9
JS_LYG_contig_21652443	0.98	0.933	0.98	dsDNAphage	7085	0	52.4	0
JS_LYG_contig_21666222	0.747	0.613	0.747	dsDNAphage	5187	0	36.4	0
JS_LYG_contig_21688651	1	0.793	1	dsDNAphage	7781	1	75	0
JS_LYG_contig_21696095	1	0.707	1	dsDNAphage	24441	1	100	0
JS_LYG_contig_21708604	0.92	0.053	0.92	dsDNAphage	15538	0	12.5	0
JS_LYG_contig_21710518||full	0.98	0.72	0.98	dsDNAphage	6150	2	66.7	0
JS_LYG_contig_21755825	1	0.947	1	dsDNAphage	11282	3	100	0
JS_LYG_contig_21784228	0.947	0.62	0.947	dsDNAphage	6239	0	21.1	0
JS_LYG_contig_21821550	0.893	0.867	0.893	dsDNAphage	7136	0	60	0
JS_LYG_contig_21830669	0.973	0.833	0.973	dsDNAphage	12183	0	95.8	0
JS_LYG_contig_21832925||full	0.98	0.54	0.98	dsDNAphage	7981	2	60	0
JS_LYG_contig_21906791	0.953	0.613	0.953	dsDNAphage	6073	0	50	0
JS_LYG_contig_21909949	1	0.413	1	dsDNAphage	8868	4	61.5	0
JS_LYG_contig_2192047	0.98	0.693	0.98	dsDNAphage	5289	0	16.7	0
JS_LYG_contig_21980722	0.867	0.147	0.867	dsDNAphage	5087	0	25	0
JS_LYG_contig_21983622	0.947	0.447	0.947	dsDNAphage	7548	0	63.6	0
JS_LYG_contig_21984263	0.953	0.013	0.953	dsDNAphage	16005	1	29.4	0
JS_LYG_contig_22010381	1	0.507	1	dsDNAphage	5201	1	8.3	0
JS_LYG_contig_22019114	0.993	0.88	0.993	dsDNAphage	5059	1	100	0
JS_LYG_contig_22025558	0.86	0.293	0.86	dsDNAphage	11462	0	4.2	0
JS_LYG_contig_22031699	0.913	0.853	0.913	dsDNAphage	5589	0	100	0
JS_LYG_contig_22071514	0.913	0.413	0.913	dsDNAphage	5368	0	16.7	0
JS_LYG_contig_22085431	0.96	0.027	0.96	dsDNAphage	11672	1	16.7	0
JS_LYG_contig_22109035	0.767	0.113	0.767	dsDNAphage	6333	0	37.5	0
JS_LYG_contig_22147265||full	0.707	0	0.707	dsDNAphage	5646	1	33.3	16.7
JS_LYG_contig_22148098	1	0.153	1	dsDNAphage	22281	7	55	0
JS_LYG_contig_22149706||full	0.973	0.093	0.973	dsDNAphage	7168	1	35.7	0
JS_LYG_contig_22153162	1	0.04	1	dsDNAphage	13677	1	22.2	0
JS_LYG_contig_22168715	0.933	0.073	0.933	dsDNAphage	17964	0	15.6	3.1
JS_LYG_contig_22185680	1	0.52	1	dsDNAphage	5992	1	15.4	0
JS_LYG_contig_22203315	0.98	0.953	0.98	dsDNAphage	14275	0	100	0
JS_LYG_contig_22216860||full	0.82	0.073	0.82	dsDNAphage	7974	1	50	16.7
JS_LYG_contig_22221183	0.827	0.06	0.827	dsDNAphage	9012	0	41.7	0
JS_LYG_contig_2222531||full_1	1	0.447	1	dsDNAphage	5549	3	71.4	0
JS_LYG_contig_22254932	1	0.68	1	dsDNAphage	6295	1	54.5	0
JS_LYG_contig_2225575	1	0.253	1	dsDNAphage	11383	1	28	0
JS_LYG_contig_22259325_1	0.813	0.94	0.94	ssDNA	4558	0	100	0
JS_LYG_contig_22283837	0.88	0.093	0.88	dsDNAphage	9559	0	14.3	4.8
JS_LYG_contig_22288573||full	0.833	0.14	0.833	dsDNAphage	7266	1	8.3	0
JS_LYG_contig_22288620	0.607	0.027	0.607	dsDNAphage	5967	0	20	0
JS_LYG_contig_22291772	0.653	0.127	0.653	dsDNAphage	7731	0	20	0
JS_LYG_contig_22294774	0.98	0.847	0.98	dsDNAphage	7103	1	66.7	0
JS_LYG_contig_22325562	0.86	0.033	0.86	dsDNAphage	9847	0	31.6	5.3
JS_LYG_contig_22336355	0.987	0.067	0.987	dsDNAphage	9465	0	8.7	0
JS_LYG_contig_22341443||full	0.807	0	0.807	dsDNAphage	8709	1	25	12.5
JS_LYG_contig_22343635	0.987	0.493	0.987	dsDNAphage	9087	1	45.5	0
JS_LYG_contig_22356660	1	0.44	1	dsDNAphage	14950	4	61.1	0
JS_LYG_contig_22396626	0.667	0.113	0.667	dsDNAphage	9514	0	31.6	5.3
JS_LYG_contig_22397096	0.813	0.02	0.813	dsDNAphage	7446	0	25	0
JS_LYG_contig_22408752	0.993	0.127	0.993	dsDNAphage	15884	1	55.6	0
JS_LYG_contig_22415391	0.987	0.433	0.987	dsDNAphage	9880	0	14.8	0
JS_LYG_contig_22435249||full	0.713	0	0.713	dsDNAphage	8855	1	12.5	0
JS_LYG_contig_22446543	0.973	0.967	0.973	dsDNAphage	5047	0	100	0
JS_LYG_contig_2246390	0.993	0.653	0.993	dsDNAphage	4977	2	50	0
JS_LYG_contig_22478780	0.893	0.14	0.893	dsDNAphage	6932	0	6.7	0
JS_LYG_contig_2248645||full	1	0.387	1	dsDNAphage	18227	2	20	0
JS_LYG_contig_22489677	0.753	0.46	0.753	dsDNAphage	6077	0	25	0
JS_LYG_contig_22508867	0.973	0.113	0.973	dsDNAphage	5632	0	53.3	0
JS_LYG_contig_22530173	0.993	0.893	0.993	dsDNAphage	6395	3	83.3	0
JS_LYG_contig_22530687||full	1	0.153	1	dsDNAphage	7882	2	23.1	0
JS_LYG_contig_22535212	1	0.08	1	dsDNAphage	38740	2	40	0
JS_LYG_contig_22555660	0.98	0.14	0.98	dsDNAphage	9152	1	33.3	6.7
JS_LYG_contig_22562349	0.613	0.107	0.613	dsDNAphage	5257	0	12.5	0
JS_LYG_contig_22606389||full	0.78	0.007	0.78	dsDNAphage	5039	1	40	20
JS_LYG_contig_22627951	0.78	0.033	0.78	dsDNAphage	5836	0	30	10
JS_LYG_contig_22639285	1	0.08	1	dsDNAphage	8037	1	45.5	0
JS_LYG_contig_22667104	0.96	0.64	0.96	dsDNAphage	6570	0	46.2	0
JS_LYG_contig_226687	0.747	0.587	0.747	dsDNAphage	5506	0	42.9	0
JS_LYG_contig_22678013	1	0.74	1	dsDNAphage	7732	1	85.7	0
JS_LYG_contig_22703789	0.573	0.007	0.573	dsDNAphage	5872	0	42.9	14.3
JS_LYG_contig_22716467	0.9	0.527	0.9	dsDNAphage	6362	0	80	0
JS_LYG_contig_22767679	0.933	0.593	0.933	dsDNAphage	7273	1	40	0
JS_LYG_contig_22773666	1	0.52	1	dsDNAphage	8624	1	47.6	0
JS_LYG_contig_22781337||full	1	0.267	1	dsDNAphage	14076	2	29.6	0
JS_LYG_contig_22781911	0.86	0.007	0.86	dsDNAphage	19946	3	30	25
JS_LYG_contig_22789319||full	0.747	0.013	0.747	dsDNAphage	8671	1	16.7	0
JS_LYG_contig_22792057||full	0.907	0.147	0.907	dsDNAphage	5620	1	50	0
JS_LYG_contig_22799348	0.773	0.107	0.773	dsDNAphage	5207	0	18.2	9.1
JS_LYG_contig_22800709	1	0.913	1	dsDNAphage	11397	2	60	0
JS_LYG_contig_22803629	0.993	0	0.993	dsDNAphage	48540	1	25.4	5.1
JS_LYG_contig_22839682	0.82	0.953	0.953	ssDNA	6270	0	100	0
JS_LYG_contig_22839683	0.913	0.5	0.913	dsDNAphage	8721	2	33.3	0
JS_LYG_contig_22846931	1	0.68	1	dsDNAphage	7675	3	91.7	0
JS_LYG_contig_22847274	0.707	0.613	0.707	dsDNAphage	5114	0	71.4	0
JS_LYG_contig_22852427	0.953	0.313	0.953	dsDNAphage	13688	0	50	0
JS_LYG_contig_228739	0.66	0.447	0.66	dsDNAphage	7366	0	33.3	0
JS_LYG_contig_22892811	0.927	0.5	0.927	dsDNAphage	9128	0	13.6	0
JS_LYG_contig_22911277	0.98	0.093	0.98	dsDNAphage	9709	1	20	0
JS_LYG_contig_22930292	0.987	0.86	0.987	dsDNAphage	5702	1	38.5	0
JS_LYG_contig_2293584	1	0.007	1	dsDNAphage	6830	3	40	10
JS_LYG_contig_22947524||full	0.913	0.053	0.913	dsDNAphage	10182	1	33.3	0
JS_LYG_contig_22949199	1	0.293	1	dsDNAphage	9058	1	16.7	0
JS_LYG_contig_22949860	0.893	0.093	0.893	dsDNAphage	28579	0	10.8	0
JS_LYG_contig_22952523	0.987	0.807	0.987	dsDNAphage	5892	1	80	0
JS_LYG_contig_22969207||full	0.993	0.407	0.993	dsDNAphage	7198	1	33.3	0
JS_LYG_contig_22989299	0.96	0.953	0.96	dsDNAphage	6413	0	36.4	0
JS_LYG_contig_22996394||full_1	0.927	0.9	0.927	dsDNAphage	3230	0	100	0
JS_LYG_contig_22997559	0.88	0.38	0.88	dsDNAphage	7461	0	85.7	0
JS_LYG_contig_23031562	0.953	0.007	0.953	dsDNAphage	119585	1	16.7	0.7
JS_LYG_contig_2303277	1	0.853	1	dsDNAphage	10676	1	100	0
JS_LYG_contig_2304121||full	0.507	0.133	0.507	dsDNAphage	11409	0	25	0
JS_LYG_contig_23050816||full	0.973	0.06	0.973	dsDNAphage	11869	1	36.4	0
JS_LYG_contig_23060756||full	0.733	0.033	0.733	dsDNAphage	5912	1	25	0
JS_LYG_contig_23065074	1	0.713	1	dsDNAphage	6438	2	80	0
JS_LYG_contig_23119678	0.8	0.1	0.8	dsDNAphage	9392	0	61.5	7.7
JS_LYG_contig_2313335	0.9	0.2	0.9	dsDNAphage	7911	0	26.7	0
JS_LYG_contig_23143516	0.993	0.44	0.993	dsDNAphage	6829	2	44.4	0
JS_LYG_contig_2315792	0.773	0.113	0.773	dsDNAphage	8478	0	12.5	0
JS_LYG_contig_23162106	1	0.467	1	dsDNAphage	7043	1	88.2	0
JS_LYG_contig_23163394||full	0.987	0.813	0.987	dsDNAphage	7202	3	33.3	0
JS_LYG_contig_23169671	1	0.28	1	dsDNAphage	11403	2	90	0
JS_LYG_contig_23174870	1	0.767	1	dsDNAphage	8568	2	61.5	0
JS_LYG_contig_23176047||full	1	0.727	1	dsDNAphage	10046	5	77.8	0
JS_LYG_contig_23192937	0.84	0.047	0.84	dsDNAphage	12562	0	43.8	6.2
JS_LYG_contig_23211522	1	0.873	1	dsDNAphage	6861	1	100	0
JS_LYG_contig_2324273||full	1	0.86	1	dsDNAphage	8203	3	60	0
JS_LYG_contig_23254396||full	0.753	0.007	0.753	dsDNAphage	20491	0	9.7	3.2
JS_LYG_contig_23273613	1	0.353	1	dsDNAphage	7582	3	66.7	0
JS_LYG_contig_23276780	0.987	0.3	0.987	dsDNAphage	8714	1	40	0
JS_LYG_contig_23282629	0.987	0.113	0.987	dsDNAphage	10347	1	28.6	0
JS_LYG_contig_23284363	0.607	0.787	0.787	ssDNA	5192	0	50	0
JS_LYG_contig_23322227	1	0.693	1	dsDNAphage	8678	2	87.5	0
JS_LYG_contig_23322571	0.753	0.413	0.753	dsDNAphage	9734	0	33.3	0
JS_LYG_contig_23324267	0.9	0.507	0.9	dsDNAphage	5584	0	27.3	0
JS_LYG_contig_233594	1	0.827	1	dsDNAphage	5968	2	87.5	0
